,Historical CO2 budget,,,
1791.0,0.006,,0.495868,0.16419
1792.0,0.006,,0.494384,0.16802
1793.0,0.006,,0.489296,0.17136
1794.0,0.006,,0.480816,0.17498
1795.0,0.006,,0.468732,0.17761
1796.0,0.006,,0.45474,0.17999
1797.0,0.007,,0.439476,0.1816
1798.0,0.007,,0.42188,0.18346
1799.0,0.007,,0.401952,0.18447
1800.0,0.008,,0.38054,0.18554
1801.0,0.008,,0.361672,0.18647
1802.0,0.01,,0.34238,0.18673
1803.0,0.009,,0.321816,0.18734
1804.0,0.009,,0.300192,0.18718
1805.0,0.009,,0.277296,0.18712
1806.0,0.01,,0.25334,0.18701
1807.0,0.01,,0.228112,0.18627
1808.0,0.01,,0.201824,0.1859
1809.0,0.01,,0.174264,0.18518
1810.0,0.01,,0.145644,0.18504
1811.0,0.011,,0.115752,0.18384
1812.0,0.011,,0.0848,0.18254
1813.0,0.011,,0.052576,0.18147
1814.0,0.011,,0.019292,0.18042
1815.0,0.012,,-0.014628,0.17926
1816.0,0.013,,-0.044308,0.1775
1817.0,0.014,,-0.067628,0.17612
1818.0,0.014,,-0.0848,0.17502
1819.0,0.014,,-0.095612,0.1741
1820.0,0.014,,-0.099852,0.17234
1821.0,0.014,,-0.098156,0.17132
1822.0,0.015,,-0.089888,0.16919
1823.0,0.016,,-0.07526,0.16809
1824.0,0.016,,-0.054484,0.16676
1825.0,0.017,,-0.027348,0.16474
1826.0,0.017,,0.006148,0.16306
1827.0,0.018,,0.043248,0.1616
1828.0,0.018,,0.068264,0.16029
1829.0,0.018,,0.088192,0.1601
1830.0,0.024,,0.106424,0.1591
1831.0,0.023,,0.122324,0.158
1832.0,0.023,,0.136528,0.15704
1833.0,0.024,,0.148612,0.15716
1834.0,0.024,,0.160484,0.1574
1835.0,0.025,,0.179352,0.15795
1836.0,0.029,,0.205428,0.15824
1837.0,0.029,,0.237016,0.15949
1838.0,0.03,,0.274116,0.16122
1839.0,0.031,,0.316092,0.16307
1840.0,0.033,,0.361248,0.16573
1841.0,0.034,,0.408948,0.16794
1842.0,0.036,,0.454528,0.17085
1843.0,0.037,,0.479544,0.17294
1844.0,0.039,,0.479332,0.17548
1845.0,0.043,,0.456436,0.17836
1846.0,0.043,,0.421456,0.18027
1847.0,0.046,,0.376936,0.18246
1848.0,0.047,,0.323088,0.1844
1849.0,0.05,,0.259276,0.18662
1850.0,0.054,0.5246421,0.18868,0.18839
1851.0,0.054,0.5612835,0.125504,0.19097
1852.0,0.057,0.5719084,0.069536,0.19329
1853.0,0.059,0.6165531,0.00954,0.19581
1854.0,0.069,0.6177522,-0.038796,0.19864
1855.0,0.071,0.6186108,-0.063388,0.20166
1856.0,0.076,0.6180099,-0.063176,0.20454
1857.0,0.077,0.6181927,-0.052788,0.20792
1858.0,0.078,0.6167931,-0.036252,0.21122
1859.0,0.083,0.6156701,-0.01378,0.2152
1860.0,0.091,0.6143396,0.01484,0.21934
1861.0,0.095,0.6174653,0.05088,0.22393
1862.0,0.097,0.5826364,0.094552,0.22803
1863.0,0.104,0.5363551,0.146068,0.23278
1864.0,0.112,0.5281343,0.2067,0.23765
1865.0,0.119,0.5204793,0.273692,0.24293
1866.0,0.122,0.5146833,0.334324,0.24803
1867.0,0.13,0.5107925,0.385204,0.25418
1868.0,0.135,0.5060819,0.426544,0.25939
1869.0,0.142,0.5019008,0.458344,0.26606
1870.0,0.147,0.4981297,0.480816,0.27225
1871.0,0.156,0.5093502,0.494596,0.27826
1872.0,0.173,0.5281057,0.496504,0.28565
1873.0,0.184,0.5886872,0.485692,0.29189
1874.0,0.174,0.5922459,0.46216,0.2993
1875.0,0.188,0.5977831,0.430572,0.30623
1876.0,0.191,0.6028278,0.409584,0.3136
1877.0,0.194,0.6080785,0.404072,0.32092
1878.0,0.196,0.6134486,0.413824,0.32854
1879.0,0.21,0.6190693,0.437144,0.33554
1880.0,0.236,0.6245758,0.467672,0.34304
1881.0,0.243,0.6439927,0.5035,0.35055
1882.0,0.256,0.6715778,0.544628,0.35802
1883.0,0.272,0.632504,0.591268,0.36446
1884.0,0.275,0.6379123,0.646176,0.37149
1885.0,0.277,0.642036,0.718468,0.37807
1886.0,0.281,0.6443609,0.782068,0.38432
1887.0,0.295,0.6461545,0.820652,0.39065
1888.0,0.327,0.6523385,0.838036,0.39719
1889.0,0.327,0.6588631,0.851392,0.40249
1890.0,0.356,0.6654525,0.862204,0.40773
1891.0,0.372,0.6762028,0.860084,0.41286
1892.0,0.374,0.6480769,0.842912,0.41788
1893.0,0.37,0.6456665,0.811324,0.42278
1894.0,0.383,0.6568155,0.772104,0.42854
1895.0,0.406,0.6496173,0.726312,0.43324
1896.0,0.419,0.6491495,0.663984,0.43862
1897.0,0.44,0.6493046,0.589572,0.44432
1898.0,0.465,0.6502024,0.53106,0.44961
1899.0,0.507,0.650502,0.495656,0.45543
1900.0,0.534,0.65245,0.481664,0.46211
1901.0,0.552,0.7101174,0.483148,0.46851
1902.0,0.566,0.7405352,0.497988,0.47485
1903.0,0.617,0.7578835,0.524912,0.48202
1904.0,0.624,0.7823443,0.563496,0.48949
1905.0,0.663,0.8055936,0.608228,0.49638
1906.0,0.707,0.8279562,0.641088,0.50383
1907.0,0.784,0.8428133,0.668012,0.51195
1908.0,0.75,0.8535736,0.687728,0.51901
1909.0,0.785,0.8610995,0.699388,0.52634
1910.0,0.819,0.8605716,0.706596,0.53384
1911.0,0.836,0.7975265,0.72398,0.54059
1912.0,0.879,0.784819,0.754508,0.54792
1913.0,0.943,0.7288126,0.787792,0.55445
1914.0,0.85,0.7103921,0.813868,0.56024
1915.0,0.838,0.703257,0.834432,0.56775
1916.0,0.901,0.696958,0.846092,0.57399
1917.0,0.955,0.6900549,0.84694,0.5798
1918.0,0.936,0.6776542,0.834432,0.58549
1919.0,0.806,0.6752169,0.807932,0.59202
1920.0,0.932,0.6734836,0.774224,0.59746
1921.0,0.803,0.7226528,0.747936,0.60356
1922.0,0.845,0.7259387,0.731824,0.60865
1923.0,0.97,0.7122873,0.725464,0.61445
1924.0,0.963,0.7151443,0.72716,0.61929
1925.0,0.975,0.7177055,0.732248,0.6239
1926.0,0.983,0.7221141,0.744544,0.62817
1927.0,1.062,0.7293897,0.760444,0.63199
1928.0,1.065,0.7447933,0.778464,0.63549
1929.0,1.145,0.7545337,0.789488,0.63806
1930.0,1.053,0.7646332,0.790548,0.64097
1931.0,0.94,0.7758736,0.789912,0.64371
1932.0,0.847,0.8045122,0.788428,0.64484
1933.0,0.893,0.8064323,0.786096,0.64628
1934.0,0.973,0.8109294,0.782068,0.64713
1935.0,1.027,0.8149144,0.773588,0.64787
1936.0,1.13,0.8479229,0.757688,0.64785
1937.0,1.209,0.8539208,0.73776,0.64755
1938.0,1.142,0.8636932,0.71338,0.64685
1939.0,1.192,0.863729,0.67098,0.64651
1940.0,1.299,0.8641821,0.606108,0.64661
1941.0,1.334,0.8039118,0.52258,0.64606
1942.0,1.342,0.838961,0.4293,0.6467
1943.0,1.391,0.8466367,0.3339,0.64769
1944.0,1.383,0.8559352,0.259276,0.6497
1945.0,1.16,0.8611077,0.214332,0.65247
1946.0,1.238,0.9381039,0.203096,0.65665
1947.0,1.392,0.9594003,0.214968,0.66217
1948.0,1.469,1.0090172,0.249948,0.66804
1949.0,1.419,1.0289978,0.302948,0.67616
1950.0,1.63,1.0535967,0.362096,0.68509
1951.0,1.767,1.287609,0.418488,0.69466
1952.0,1.795,1.399923,0.479332,0.7068
1953.0,1.841,1.3801413,0.547384,0.71928
1954.0,1.865,1.4323748,0.622008,0.73369
1955.0,2.042,1.4808446,0.699176,0.74934
1956.0,2.177,1.5065268,0.774436,0.76658
1957.0,2.27,1.5246383,0.869836,0.78593
1958.0,2.33,1.5605785,1.01972,0.80563
1959.0,2.454,1.4727759,1.174692,0.82739
1960.0,2.569,1.4606345,1.309736,0.84979
1961.0,2.58,1.530231,1.43418,0.87278
1962.0,2.686,1.5198038,1.54972,0.89602
1963.0,2.833,1.5262845,1.658476,0.91953
1964.0,2.995,1.5173337,1.76172,0.94401
1965.0,3.13,1.5484721,1.860724,0.97317
1966.0,3.288,1.5508256,1.956336,1.00517
1967.0,3.393,1.594899,2.048768,1.04097
1968.0,3.566,1.5460563,2.13802,1.07968
1969.0,3.78,1.5427741,2.225152,1.11881
1970.0,4.053,1.5310014,2.309952,1.1587
1971.0,4.208,1.4047031,2.39242,1.19765
1972.0,4.376,1.3261336,2.47298,1.23778
1973.0,4.614,1.3175873,2.551208,1.27714
1974.0,4.623,1.2897675,2.627104,1.31482
1975.0,4.596,1.3024158,2.700032,1.35261
1976.0,4.864,1.3194059,2.770204,1.3922
1977.0,5.026,1.3512792,2.836984,1.43504
1978.0,5.087,1.2985151,2.898676,1.47931
1979.0,5.369,1.2515593,2.954644,1.52314
1980.0,5.315,1.2433824,3.003616,1.56536
1981.0,5.152,1.2520549,3.04644,1.60437
1982.0,5.113,1.2573836,3.083964,1.64329
1983.0,5.094,1.4321564,3.117672,1.68182
1984.0,5.28,1.46034,3.147988,1.72027
1985.0,5.439,1.4988356,3.174276,1.75871
1986.0,5.607,1.529187,3.196748,1.79546
1987.0,5.752,1.5147715,3.215616,1.82985
1988.0,5.965,1.5141773,3.23088,1.8592
1989.0,6.097,1.5312021,3.24254,1.87975
1990.0,6.127,1.4442218,3.251868,1.89245
1991.0,6.217,1.6358689,3.261408,1.90087
1992.0,6.164,1.6820379,3.273492,1.90893
1993.0,6.162,1.5457908,3.289604,1.92313
1994.0,6.266,1.5028061,3.310592,1.9466
1995.0,6.398,1.4851806,3.335184,1.97837
1996.0,6.542,1.4693037,3.361472,2.01467
1997.0,6.651,1.4470633,3.387548,2.05385
1998.0,6.643,1.4343834,3.411928,2.09345
1999.0,6.61,1.3967126,3.432916,2.13167
2000.0,6.765,1.411682,3.449028,2.1699
2001.0,6.927,1.2282911,3.461112,2.20878
2002.0,6.996,1.0590756,3.46938,2.24991
2003.0,7.416,1.0315677,3.474044,2.29261
2004.0,7.807,1.0046559,3.475528,2.33424
2005.0,8.093,0.9911075,,2.37296
2006.0,8.37,0.9920526,,2.40775
2007.0,8.566,0.9396983,,2.43925
2008.0,8.783,0.9260047,,2.46868
2009.0,8.74,0.8674776,,2.49805
2010.0,9.167,0.8546455,,2.52622
2011.0,9.45724630828,,,
2012.0,9.66844210725,,,
2013.0,9.86108217082,,,
