1969.0,3780.0,1486.0,1673.0,467.0,74.0,80.0,1.04532254486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970.0,4053.0,1556.0,1839.0,493.0,78.0,87.0,1.09802505102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971.0,4208.0,1559.0,1947.0,530.0,84.0,88.0,1.11714213739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.0,4376.0,1576.0,2057.0,560.0,89.0,94.0,1.13873117957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973.0,4614.0,1581.0,2241.0,588.0,95.0,110.0,1.17728638505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974.0,4623.0,1579.0,2245.0,597.0,96.0,107.0,1.15710817829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975.0,4596.0,1673.0,2132.0,604.0,95.0,92.0,1.12895527657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976.0,4864.0,1710.0,2314.0,630.0,103.0,108.0,1.17314052794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977.0,5026.0,1765.0,2398.0,650.0,108.0,104.0,1.19076480055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978.0,5087.0,1793.0,2392.0,680.0,116.0,106.0,1.18421716015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979.0,5369.0,1887.0,2544.0,721.0,119.0,98.0,1.22817471567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980.0,5315.0,1947.0,2422.0,740.0,120.0,86.0,1.1946373801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981.0,5152.0,1921.0,2289.0,756.0,121.0,64.0,1.13775023081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982.0,5113.0,1992.0,2196.0,740.0,121.0,64.0,1.10936031503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983.0,5094.0,1995.0,2176.0,741.0,125.0,58.0,1.08577960715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984.0,5280.0,2094.0,2199.0,808.0,128.0,51.0,1.10543671556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.0,5439.0,2237.0,2186.0,837.0,131.0,49.0,1.11830707779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.0,5607.0,2300.0,2293.0,831.0,137.0,46.0,1.13195509412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.0,5752.0,2364.0,2306.0,894.0,143.0,44.0,1.14006737082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988.0,5965.0,2414.0,2412.0,937.0,152.0,50.0,1.16090906321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.0,6097.0,2457.0,2459.0,985.0,156.0,41.0,1.1656735447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.0,6127.0,2419.0,2492.0,1019.0,157.0,40.0,1.1515149616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.0,6217.0,2345.0,2605.0,1063.0,161.0,44.0,1.1494000578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.0,6164.0,2357.0,2510.0,1095.0,167.0,35.0,1.12176754488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993.0,6162.0,2298.0,2523.0,1129.0,176.0,36.0,1.10452571977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,6266.0,2358.0,2546.0,1139.0,186.0,38.0,1.10685469485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995.0,6398.0,2442.0,2565.0,1157.0,197.0,36.0,1.1142803697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996.0,6542.0,2469.0,2624.0,1209.0,203.0,37.0,1.12385864548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997.0,6651.0,2495.0,2700.0,1208.0,209.0,38.0,1.12753880524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.0,6643.0,2391.0,2766.0,1243.0,209.0,35.0,1.11174266302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999.0,6610.0,2352.0,2737.0,1270.0,217.0,33.0,1.09229513667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,6765.0,2367.0,2838.0,1288.0,226.0,45.0,1.1040030562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001.0,6927.0,2492.0,2840.0,1312.0,237.0,46.0,1.11651125787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002.0,6996.0,2521.0,2831.0,1344.0,252.0,48.0,1.11386130036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003.0,7416.0,2743.0,2959.0,1391.0,276.0,48.0,1.16640604341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004.0,7807.0,2967.0,3053.0,1437.0,298.0,53.0,1.21307599994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005.0,8093.0,3157.0,3076.0,1480.0,320.0,60.0,1.24238293896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006.0,8370.0,3339.0,3089.0,1525.0,356.0,61.0,1.26948439053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007.0,8566.0,3464.0,3081.0,1572.0,382.0,68.0,1.28366012482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008.0,8783.0,3571.0,3122.0,1631.0,388.0,71.0,1.30048211026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total World
2009.0,8740.0,3620.0,3056.0,1585.0,413.0,66.0,1.27876453288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.0,9167.0,3842.0,3114.0,1702.0,450.0,59.0,1.32544199035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011.0,9457.24630828,4020.53009486,3148.59331168,1729.88278016,499.240121581,59.0,1.35142154673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012.0,9668.44210725,4123.93915831,3190.12902018,1771.5137464,523.860182371,59.0,1.36558519995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.0,9861.08217082,4238.04070339,3225.68436752,1791.24463791,547.112462006,59.0,1.3768385548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
