Natural Gas: Proved reserves,,,,,,,
,at end 1993,at end 2003,at end 2012,,at end 2013,,
Bangladesh,0.29699999094,0.432999998331,0.275715231895,9.73679065704,0.275715231895,0.00148476811592,12.6019678116
Brunei,0.40000000596,0.344999998808,0.287999987602,10.1706228256,0.287999987602,0.00155092345085,23.5940341949
China,1.67069995403,1.33611524105,3.27219033241,115.556297302,3.27219033241,0.0176212396473,27.9554920197
India,0.717999994755,0.853999972343,1.33024001122,47.8428955078,1.35476005077,0.00729558756575,40.2300796509
Indonesia,1.82000005245,2.5569999218,2.92654633522,103.349998474,2.92654633522,0.0157598946243,41.5688362122
Malaysia,1.82500004768,2.46399998665,1.07214677334,38.5440292358,1.09144544601,0.00587759865448,15.8063030243
Myanmar,0.268000006676,0.405000001192,0.283168494701,10.0,0.283168494701,0.00152490509208,21.6324005127
Pakistan,0.651000022888,0.790000021458,0.643508374691,22.7252807617,0.643508374691,0.00346538983285,16.6927165985
Papua New Guinea,^,^,0.154956832528,5.46674823761,0.154801085591,0.00083362724399,*
Thailand,0.180999994278,0.418000012636,0.284895837307,10.061000824,0.284895837307,0.00153420714196,6.81949138641
Vietnam,0.105999998748,0.219999998808,0.617109596729,21.7930164337,0.617109596729,0.00332322833128,63.2867965698
Other Asia Pacific,0.329000011086,0.461378999054,0.334175268305,11.5072402954,0.325848800247,0.00175474502612,17.486946106
Total Asia Pacific,9.26157833613,12.6678419488,15.241890127,536.616027832,15.1952752444,0.0818288549781,31.0721817017
,,,,,,,
Total World,118.368011415,155.749219519,185.306662116,6557.78515625,185.695813918,1.0,55.1044825421
of which: OECD,14.5932011678,15.3277594474,18.7155861284,678.258972168,19.2061566145,0.103428050876,16.0044704476
                 Non-OECD,103.774810247,140.421460071,166.591075988,5879.52587891,166.489657304,0.896571934223,76.729133606
                 European Union,3.66931998823,3.24200773879,1.57579731836,55.5556945801,1.57316221937,0.00847171619534,10.7171123247
                 Former Soviet Union,35.3230781555,36.9167789677,52.7756370846,1869.5390625,52.9394564573,0.2850869596,68.1809844971
,,,,,,,
* More than 100 years.,,,,,,,
 ^ Less than 0.05,,,,,,,
w Less than 0.05%.,,,,,,,
 n/a not available.,,,,,,,
Notes: Proved reserves of oil - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be,,,,,,,
 recovered in the future from known reservoirs under existing economic and operating conditions.,,,,,,,
"Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the  production in that year, the result is the length of time ",,,,,,,
 that those remaining reserves would last if production were to continue at that rate.,,,,,,,
Source of data - The estimates in this table have been compiled using a combination of primary official sources and third-party data from Cedigaz and the OPEC Secretariat.,,,,,,,
