Country Name,Country Code,Year,Value
Maldives,MDV,2013,345023
Middle East & North Africa (all income levels),MEA,2013,402606687
Mexico,MEX,2013,122332399
Marshall Islands,MHL,2013,52634
Middle income,MIC,2013,4969744376
"Macedonia, FYR",MKD,2013,2107158
Mali,MLI,2013,15301650
Malta,MLT,2013,423282
Myanmar,MMR,2013,53259018
Middle East & North Africa (developing only),MNA,2013,345447146
Montenegro,MNE,2013,621383
Mongolia,MNG,2013,2839073
Northern Mariana Islands,MNP,2013,53855
Mozambique,MOZ,2013,25833752
Mauritania,MRT,2013,3889880
Mauritius,MUS,2013,1296303
Malawi,MWI,2013,16362567
Malaysia,MYS,2013,29716965
North America,NAC,2013,351352167
Namibia,NAM,2013,2303315
New Caledonia,NCL,2013,262000
Niger,NER,2013,17831270
Nigeria,NGA,2013,173615345
Nicaragua,NIC,2013,6080478
Netherlands,NLD,2013,16804224
High income: nonOECD,NOC,2013,251690488
Norway,NOR,2013,5084190
Nepal,NPL,2013,27797457
New Zealand,NZL,2013,4470800
High income: OECD,OEC,2013,1054441583
OECD members,OED,2013,1261603870
Oman,OMN,2013,3632444
Other small states,OSS,2013,20214523
Pakistan,PAK,2013,182142594
Panama,PAN,2013,3864170
Peru,PER,2013,30375603
Philippines,PHL,2013,98393574
Palau,PLW,2013,20918
Papua New Guinea,PNG,2013,7321262
Poland,POL,2013,38530725
Puerto Rico,PRI,2013,3615086
"Korea, Dem. Rep.",PRK,2013,24895480
Portugal,PRT,2013,10459806
Paraguay,PRY,2013,6802295
Pacific island small states,PSS,2013,2280082
French Polynesia,PYF,2013,276831
Qatar,QAT,2013,2168673
Romania,ROU,2013,19963581
Russian Federation,RUS,2013,143499861
Rwanda,RWA,2013,11776522
South Asia,SAS,2013,1670808253
Saudi Arabia,SAU,2013,28828870
Southern Cone Extended,SCE,,
Sudan,SDN,2013,37964306
Senegal,SEN,2013,14133280
Singapore,SGP,2013,5399200
Solomon Islands,SLB,2013,561231
Sierra Leone,SLE,2013,6092075
El Salvador,SLV,2013,6340454
San Marino,SMR,2013,31448
Somalia,SOM,2013,10495583
Serbia,SRB,2013,7163976
Sub-Saharan Africa (developing only),SSA,2013,936119483
South Sudan,SSD,2013,11296173
Sub-Saharan Africa (all income levels),SSF,2013,936876497
Small states,SST,2013,29497285
Sao Tome and Principe,STP,2013,192993
Suriname,SUR,2013,539276
Slovak Republic,SVK,2013,5414095
Slovenia,SVN,2013,2060484
Sweden,SWE,2013,9592552
Swaziland,SWZ,2013,1249514
Sint Maarten (Dutch part),SXM,2013,39689
Seychelles,SYC,2013,89173
Syrian Arab Republic,SYR,2013,22845550
Turks and Caicos Islands,TCA,2013,33098
Chad,TCD,2013,12825314
Togo,TGO,2013,6816982
Thailand,THA,2013,67010502
Tajikistan,TJK,2013,8207834
Turkmenistan,TKM,2013,5240072
Timor-Leste,TLS,2013,1178252
Tonga,TON,2013,105323
Trinidad and Tobago,TTO,2013,1341151
Tunisia,TUN,2013,10886500
Turkey,TUR,2013,74932641
Tuvalu,TUV,2013,9876
Tanzania,TZA,2013,49253126
Uganda,UGA,2013,37578876
Ukraine,UKR,2013,45489600
Upper middle income,UMC,2013,2408656292
Uruguay,URY,2013,3407062
United States,USA,2013,316128839
Uzbekistan,UZB,2013,30241100
St. Vincent and the Grenadines,VCT,2013,109373
"Venezuela, RB",VEN,2013,30405207
Virgin Islands (U.S.),VIR,2013,104737
Vietnam,VNM,2013,89708900
Vanuatu,VUT,2013,252763
West Bank and Gaza,PSE,2013,4169506
World,WLD,2013,7124543962
Samoa,WSM,2013,190372
"Yemen, Rep.",YEM,2013,24407381
South Africa,ZAF,2013,52981991
"Congo, Dem. Rep.",COD,2013,67513677
Zambia,ZMB,2013,14538640
Zimbabwe,ZWE,2013,14149648
