Country Name,Year,Value
Guinea-Bissau,2012.0,
Guyana,2012.0,
Haiti,2012.0,
Honduras,2012.0,10.529940568735679
Hong Kong,2012.0,80.22805672272482
Hungary,2012.0,75.3950818047856
Iceland,2012.0,
India,2012.0,2070.9463944381923
Indonesia,2012.0,472.66711335900806
Iraq,2012.0,
Ireland,2012.0,53.8930320823248
Iran,2012.0,588.464002658
Israel,2012.0,94.4472061565904
Italy,2012.0,571.282900287984
Jamaica,2012.0,
Japan,2012.0,1596.101178968672
Jordan,2012.0,
Kazakhstan,2012.0,248.32685707087202
Kenya,2012.0,18.189871127282082
Kiribati,2012.0,
Kuwait,2012.0,71.6820364871344
Kyrgyzstan,2012.0,7.741132771080641
Laos,2012.0,3.651624423758608
Latvia,2012.0,14.457182705338882
Lebanon,2012.0,
Lesotho,2012.0,
Liberia,2012.0,
Libya,2012.0,
Lithuania,2012.0,21.569713864153922
Luxembourg,2012.0,9.752744156634881
Macao,2012.0,
Macedonia (Republic of),2012.0,
Madagascar,2012.0,4.5687840621091205
Malawi,2012.0,2.819156493523008
Malaysia,2012.0,203.7548364124048
Maldives,2012.0,
Mali,2012.0,
Malta,2012.0,7.103767703422401
Marshall Islands,2012.0,
Martinique,2012.0,
Mauritania,2012.0,
Mauritius,2012.0,5.6795543430584
Mexico,2012.0,484.7070862971681
Mongolia,2012.0,13.69344737644096
Montenegro,2012.0,
Montserrat,2012.0,
Morocco,2012.0,59.148274511508795
Mozambique,2012.0,7.725807182884961
Myanmar,2012.0,
Namibia,2012.0,9.062528937058241
Nauru,2012.0,
Nepal,2012.0,7.2787697028905605
Netherlands Antilles,2012.0,
Netherlands,2012.0,142.7280988154576
New Caledonia,2012.0,
New Zealand,2012.0,38.8906841672432
Nicaragua,2012.0,5.70687805114464
Niger,2012.0,
Nigeria,2012.0,63.011093347688
Niue,2012.0,
Norway,2012.0,55.548950332248005
Occupied Palestinian Territory,2012.0,
Oman,2012.0,51.587543136777605
Pakistan,2012.0,178.7884343280528
Palau,2012.0,
Panama,2012.0,3.1699848263827524
Papua New Guinea,2012.0,
Paraguay,2012.0,8.728101609208961
Peru,2012.0,67.19222233519041
Philippines,2012.0,112.5467156786096
Bolivia,2012.0,14.91802298442464
Poland,2012.0,303.72080429476483
Portugal,2012.0,66.6974265620624
Qatar,2012.0,34.94991243818496
Cameroon,2012.0,9.09320743091456
South Korea,2012.0,692.9146435763521
Moldova,2012.0,
Réunion,2012.0,
Romania,2012.0,98.1877351492336
Russian Federation,2012.0,1493.320635094288
Rwanda,2012.0,1.143190940380944
Saint Helena,2012.0,
Saint Lucia,2012.0,
Samoa,2012.0,
Sao Tome and Principe,2012.0,
Saudi Arabia,2012.0,419.818923428336
Senegal,2012.0,9.10501807711552
Serbia,2012.0,
Seychelles,2012.0,
Sierra Leone,2012.0,
Singapore,2012.0,103.2692587507344
Slovakia,2012.0,50.0593148244576
Slovenia,2012.0,20.91405133500544
Solomon Islands,2012.0,
Somalia,2012.0,
South Africa,2012.0,336.49352548023364
Spain,2012.0,355.7421829173584
Sri Lanka,2012.0,23.8504853074896
Saint Kitts and Nevis,2012.0,
Saint Pierre and Miquelon,2012.0,
Saint Vincent and the Grenadines,2012.0,
Sudan,2012.0,
Suriname,2012.0,
Swaziland,2012.0,
Sweden,2012.0,88.0549900297472
Switzerland,2012.0,123.87804939550561
Syria,2012.0,
Taiwan,2012.0,248.0813391715328
Tajikistan,2012.0,
Thailand,2012.0,289.2401713003008
Timor-Leste,2012.0,
Togo,2012.0,4.417443643800641
Tonga,2012.0,
Trinidad and Tobago,2012.0,
Tunisia,2012.0,27.84511756449584
Turkey,2012.0,364.31091874382884
Turkmenistan,2012.0,
Turks and Caicos Islands,2012.0,
Uganda,2012.0,5.80186577931584
Ukraine,2012.0,261.5805291494576
United Arab Emirates,2012.0,233.58979326817283
United Kingdom,2012.0,642.978278666496
Tanzania,2012.0,12.24882861794064
United States of America,2012.0,5540.67779297456
Uruguay,2012.0,10.02795547218192
Uzbekistan,2012.0,
Vanuatu,2012.0,
Venezuela,2012.0,171.2865929831712
Viet Nam,2012.0,159.7852304793728
Wallis and Futuna Islands,2012.0,
Western Sahara,2012.0,
Yemen,2012.0,
Zambia,2012.0,6.705031081571681
Zimbabwe,2012.0,10.27540433894576
KP Annex B,2012.0,14719.40213160608
Non KP Annex B,2012.0,18716.96247761984
OECD,2012.0,14480.77849736336
Non-OECD,2012.0,18952.54731198064
EU28,2012.0,4727.3465146064
Africa,2012.0,1154.460627121968
Asia,2012.0,14969.897125885442
Central America,2012.0,189.76747343075363
Europe,2012.0,6847.09136882512
Middle East,2012.0,2125.7192526300482
North America,2012.0,6588.43803124464
Oceania,2012.0,394.368789057328
South America,2012.0,1166.592678193808
Bunkers,2012.0,1065.769664
Statistical Difference,2012.0,923.037607763728
World,2012.0,35425.17188096401
